,date,user,comment
696,2017-11-04 16:09:56,Twokinds,"Drag, or if you're on a phone, click and the click the top of the ballet"
697,2017-11-04 16:10:05,Twokinds,"Sort them however you like, in order of favorite ideas"
708,2017-11-04 16:11:03,Twokinds,"yeah, but I'll have them in different outfits if it's picked"
710,2017-11-04 16:11:15,Twokinds,maybe go for the egypt ones
900,2017-11-04 16:22:39,Twokinds,:ctwokinds-natsducky:
1369,2017-11-04 16:49:46,Twokinds,Done
1400,2017-11-04 16:50:21,Twokinds,Hi Fluff!
1401,2017-11-04 16:50:28,Twokinds,:ctwokinds-flomad:
2003,2017-11-04 17:25:59,Twokinds,Done
2036,2017-11-04 17:26:55,Twokinds,"Yeah I know it wasn't voted particularly high, but that's why I picked it"
2069,2017-11-04 17:28:08,Twokinds,Omae Wa Mou Shindeiru
2098,2017-11-04 17:29:00,Twokinds,Seems the bot is dead
2134,2017-11-04 17:31:09,Twokinds,"I almost considered having it say ""Ghost of keith and keith comfort keith as he leaves..."""
2183,2017-11-04 17:33:46,Twokinds,:O
2212,2017-11-04 17:34:27,Twokinds,"Hm, okay"
2218,2017-11-04 17:34:32,Twokinds,I'm gunna get some food and  think on this one
2219,2017-11-04 17:34:36,Twokinds,brb in 4 minutes
2228,2017-11-04 17:34:45,Twokinds,I actually don't have any ideas for this particular sketch
2399,2017-11-04 17:44:34,Twokinds,A peanut butter jelly sandwich
2409,2017-11-04 17:44:55,Twokinds,On cholocate cinnamon bread
2435,2017-11-04 17:45:44,Twokinds,peanut butter jelly
2605,2017-11-04 17:55:39,Twokinds,2
2863,2017-11-04 18:11:59,Twokinds,Done
3290,2017-11-04 18:40:23,Twokinds,Done
3335,2017-11-04 18:41:29,Twokinds,https://tkpolls.com
3402,2017-11-04 18:46:37,Twokinds,"No sir, I didn't see you knitting your dolls again. Good."
3789,2017-11-04 19:10:22,Twokinds,done
3909,2017-11-04 19:17:16,Twokinds,What's cuphead?
3931,2017-11-04 19:18:09,Twokinds,:ctwokinds-NataniHAHA:
3956,2017-11-04 19:19:58,Twokinds,What's darksouls?
4439,2017-11-04 19:50:51,Twokinds,Done
4460,2017-11-04 19:51:30,Twokinds,She's drinking itty bitty kitty tea-tea
5118,2017-11-04 20:32:37,Twokinds,Done
5178,2017-11-04 20:35:58,Twokinds,:ctwokinds-RainezZz::ctwokinds-RainezZz::ctwokinds-RainezZz:
5199,2017-11-04 20:37:11,Twokinds,what
5204,2017-11-04 20:37:32,Twokinds,My Christmas tree has been up since August
5225,2017-11-04 20:38:05,Twokinds,No we took it down in June
5366,2017-11-04 20:44:23,Twokinds,Keith X Laura lives
5530,2017-11-04 20:54:24,Twokinds,Okay
5531,2017-11-04 20:54:25,Twokinds,Done
5539,2017-11-04 20:54:34,Twokinds,This was a quick one but I was tired
5648,2017-11-04 20:59:18,Twokinds,o_o
5653,2017-11-04 20:59:31,Twokinds,I say a lot of stuff but I don't remember that one
5734,2017-11-04 21:02:31,Twokinds,Karen is terrified of dogs
5754,2017-11-04 21:03:03,Twokinds,wolf people don't count
5785,2017-11-04 21:04:00,Twokinds,That's part of it.
5789,2017-11-04 21:04:04,Twokinds,Yeah
5860,2017-11-04 21:07:05,Twokinds,"Okay, that's it for tonight!"
5862,2017-11-04 21:07:07,Twokinds,Thanks for joining me!
5912,2017-11-04 21:08:15,Twokinds,Storms kicking up
5953,2017-11-04 21:11:32,Twokinds,No it's fine. Your sketch was just the winner last time
5954,2017-11-04 21:11:35,Twokinds,"yeah, thriller."
5960,2017-11-04 21:11:53,Twokinds,I thought it was a good suggestion
6107,2017-11-04 21:36:06,Twokinds,:smiley_cat:
6114,2017-11-04 21:36:42,Twokinds,I haven't seen a movie in quite a long time
6121,2017-11-04 21:37:49,Twokinds,The last movie I saw in Theaters was Star Wars VII
6125,2017-11-04 21:38:20,Twokinds,I'm just not a movie goer
6126,2017-11-04 21:38:34,Twokinds,I didn't even know there was a new Thor movie until yesterday
6131,2017-11-04 21:38:59,Twokinds,Not really.
6309,2017-11-04 22:23:17,Twokinds,:octopus:
6351,2017-11-04 22:54:36,Twokinds,:ctwokinds-katdryer:
6358,2017-11-04 23:34:33,Twokinds,I haven't seen that one
6360,2017-11-04 23:36:25,Twokinds,I'm not good at drawing babies
6362,2017-11-04 23:38:32,Twokinds,no D:&lt;
6378,2017-11-04 23:49:15,Twokinds,It's not surprising
6380,2017-11-04 23:49:18,Twokinds,I mean it's phpbb
6382,2017-11-04 23:49:32,Twokinds,It's 90% ducttape
59,2017-11-05 00:36:35,Twokinds,Yeah
62,2017-11-05 00:38:01,Twokinds,Thanks!
63,2017-11-05 00:38:06,Twokinds,Seeya Blue
72,2017-11-05 01:00:19,Twokinds,500 moons
74,2017-11-05 01:01:50,Twokinds,mario
83,2017-11-05 02:18:09,Twokinds,:zzz:
88,2017-11-05 02:30:48,Twokinds,Nah I saw your email pop up
92,2017-11-05 02:49:28,Twokinds,:ctwokinds-flomad: IS THAT A CHALLENGE?
103,2017-11-05 02:57:42,Twokinds,I do like the idea
104,2017-11-05 02:57:50,Twokinds,But it does break some of the lore about Basitins
