,date,user,comment
4001,2021-01-09 23:11:57,Twokinds,Done
4088,2021-01-09 23:16:10,Twokinds,The last one is Rose scaring Trace with teleportation
4103,2021-01-09 23:17:03,Twokinds,I'm not sure how
4105,2021-01-09 23:17:26,Twokinds,I mean Rose was already scaring everyone with teleportation throughout the last two chapters
4110,2021-01-09 23:17:42,Twokinds,Just appearing near people
4121,2021-01-09 23:18:10,Twokinds,Oh?
4134,2021-01-09 23:19:21,Twokinds,"Wait, is it supposed to be younger Rose?"
4135,2021-01-09 23:19:24,Twokinds,Now I'm not sure
4141,2021-01-09 23:19:58,Twokinds,Rima went away already I think
4301,2021-01-09 23:41:53,Twokinds,I mean when
4304,2021-01-09 23:42:10,Twokinds,"Older Rose can teleport because... well, events the recent chapter revealed"
4371,2021-01-09 23:51:19,Twokinds,o/ Sage
4406,2021-01-09 23:53:58,Twokinds,Done
4452,2021-01-09 23:56:32,Twokinds,"Lynn, at this very moment, is in his room, writing boring official letters back home."
44,2021-01-10 00:02:52,Twokinds,so many lines
47,2021-01-10 00:03:01,Twokinds,take care everyone!
57,2021-01-10 00:03:09,Twokinds,I am completely exhausted
108,2021-01-10 00:07:59,Twokinds,I wonder how many km of lines I've drawn in all my time as an artist.
531,2021-01-10 14:49:17,Twokinds,:poultry_leg:
568,2021-01-10 18:48:54,Twokinds,:ctwokinds-natsducky:
573,2021-01-10 19:00:22,Twokinds,No stream
578,2021-01-10 19:02:10,Twokinds,i dunno
597,2021-01-10 19:37:04,Twokinds,:scissors:
601,2021-01-10 19:37:51,Twokinds,There's no razor emote
713,2021-01-10 21:45:10,Twokinds,I'm actually eating pizza right now!
714,2021-01-10 21:45:15,Twokinds,:ctwokinds-sytheeyebrows:
14,2021-01-11 00:14:11,Twokinds,:ctwokinds-nibrun:
220,2021-01-11 20:51:50,Twokinds,:bathtub:
222,2021-01-11 21:05:01,Twokinds,"I honestly didn't know if you wanted past Rose and Trace, or present two"
58,2021-01-12 15:02:25,Twokinds,:ctwokinds-nibsdance::ctwokinds-nibsdance::ctwokinds-nibsdance:
67,2021-01-12 16:48:57,Twokinds,...?
72,2021-01-12 17:27:50,Twokinds,"I was going to reuse the form from last week, but then realized some people didn't submit suggestions because they won the previous week."
73,2021-01-12 17:27:57,Twokinds,I'll just submit the form again as usual.
4,2021-01-13 03:12:54,Twokinds,:ctwokinds-RainezZz:
55,2021-01-14 17:54:58,Twokinds,I am
531,2021-01-14 22:12:22,Twokinds,:ctwokinds-katwet:
542,2021-01-14 22:15:23,Twokinds,"I know, don't tell me."
543,2021-01-14 22:15:27,Twokinds,I've been working on it all day
546,2021-01-14 22:22:16,Twokinds,yes
619,2021-01-14 22:55:55,Twokinds,Yeah. I know.
705,2021-01-14 23:37:11,Twokinds,I dunno about never. Never's a long time.
722,2021-01-14 23:42:17,Twokinds,Well obviously. It's a really basic pattern.
725,2021-01-14 23:42:51,Twokinds,While creativing my hedgemaze I literally had to go out of my way to avoid four paths ending in the same pattern.
733,2021-01-14 23:44:08,Twokinds,hahaha
754,2021-01-14 23:50:08,Twokinds,:ctwokinds-power:
755,2021-01-14 23:50:19,Twokinds,"""Don't grab me."""
64,2021-01-15 00:47:52,Twokinds,hi
190,2021-01-15 02:30:00,Twokinds,wb
194,2021-01-15 02:34:59,Twokinds,It's fine?
326,2021-01-15 14:58:32,Twokinds,:ctwokinds-natsducky:
332,2021-01-15 15:02:48,Twokinds,yo Sage
343,2021-01-15 15:22:53,Twokinds,....
345,2021-01-15 15:23:15,Twokinds,:ctwokinds-KeithNeat:
417,2021-01-15 16:28:48,Twokinds,:cloud:
424,2021-01-15 16:41:12,Twokinds,It's snooowing
80,2021-01-16 14:14:02,Twokinds,Me too
81,2021-01-16 14:23:28,Twokinds,"There's a ton of snow outside, but none of it is sticking around."
86,2021-01-16 14:26:44,Twokinds,"Yeah it's a lot coming down, but it's 37 outside, so it's all melting."
87,2021-01-16 14:27:03,Twokinds,"If it suddenly gets colder I imagine it'll freeze, and then we'll have some icey roads. That could be dangerous."
89,2021-01-16 14:29:23,Twokinds,Lot of robins outside
90,2021-01-16 14:29:26,Twokinds,Bright red birds.
93,2021-01-16 14:30:41,Twokinds,"Actually, yeah, now that I look at pictures of them"
94,2021-01-16 14:30:47,Twokinds,They've got the black feathers around the beak
98,2021-01-16 14:32:19,Twokinds,"I always see quite a few of them. I see at least 3, and 2 of the duller females."
107,2021-01-16 15:09:33,Twokinds,hiiiii
108,2021-01-16 15:09:53,Twokinds,<( '  ' )>
112,2021-01-16 15:13:00,Twokinds,Yarp
204,2021-01-16 16:01:02,Twokinds,4:30 star
224,2021-01-16 16:04:23,Twokinds,Every single time I forget how to compile these votes into a poll
225,2021-01-16 16:04:41,Twokinds,And I have to figure it out again from scratch.
229,2021-01-16 16:05:45,Twokinds,I did. I lost it.
232,2021-01-16 16:05:58,Twokinds,I don't remember where I saved it.
528,2021-01-16 16:52:31,Twokinds,random
545,2021-01-16 16:53:22,Twokinds,Don't ask about my personal life please.
549,2021-01-16 16:53:52,Twokinds,"She's fine, though."
554,2021-01-16 16:54:56,Twokinds,i dunno
700,2021-01-16 17:10:03,Twokinds,That was a lot of suggestions
708,2021-01-16 17:10:37,Twokinds,Honestly I go crosseyed trying to edit them all.
715,2021-01-16 17:11:18,Twokinds,"I try my best to format them all so they're presentable in a poll, but it's a lot to go through. A lot of typos and mispelled names. XD"
716,2021-01-16 17:11:27,Twokinds,It's the same thing.
725,2021-01-16 17:11:59,Twokinds,I feel like a teacher grading homework
733,2021-01-16 17:12:18,Twokinds,Well it depends. I try to contact people if there's issues with a suggestion
736,2021-01-16 17:12:25,Twokinds,Which takes a while
740,2021-01-16 17:12:50,Twokinds,Sometimes people typo a name and I don't know who they're talking about.
743,2021-01-16 17:12:59,Twokinds,"Like, they give a character a completely different name XD"
748,2021-01-16 17:13:22,Twokinds,I can't tell if it's a typo or a character from a property I'm not familiar with.
774,2021-01-16 17:15:24,Twokinds,hang on
775,2021-01-16 17:15:26,Twokinds,something crashed
782,2021-01-16 17:16:06,Twokinds,It was Excel
789,2021-01-16 17:16:37,Twokinds,To compile all the suggestions
791,2021-01-16 17:16:51,Twokinds,Google forms spits out a spreadsheet
795,2021-01-16 17:17:02,Twokinds,I use excel 2010
802,2021-01-16 17:17:25,Twokinds,"It's the copy I own, and I don't want to pay MS a sub for office"
818,2021-01-16 17:17:57,Twokinds,Yeah all my office stuff is 2010
896,2021-01-16 17:24:40,Twokinds,I'm trying very hard to think of how to draw awkward flirting
897,2021-01-16 17:24:45,Twokinds,drawing a blank
924,2021-01-16 17:27:25,Twokinds,welcome for the first time
1089,2021-01-16 18:06:09,Twokinds,lol
1107,2021-01-16 18:09:23,Twokinds,"Not always, I sometimes use multiple layers, if there's a reason to."
1254,2021-01-16 18:25:21,Twokinds,Done
1429,2021-01-16 18:50:13,Twokinds,argh
1432,2021-01-16 18:50:19,Twokinds,wacom tablet drivers crashed
1443,2021-01-16 18:50:52,Twokinds,2 min gotta restore settings
1455,2021-01-16 18:52:20,Twokinds,ok back to normal I think
1467,2021-01-16 18:53:38,Twokinds,Sometimes wacom just breaks for no reason
1477,2021-01-16 18:54:49,Twokinds,"I dunno what it is, but wacom's software is just terrible"
1488,2021-01-16 18:56:19,Twokinds,why would a case need drivers
1492,2021-01-16 18:56:46,Twokinds,rgb disgusting
1675,2021-01-16 19:25:12,Twokinds,Done
1764,2021-01-16 19:30:50,Twokinds,oh?
1766,2021-01-16 19:30:57,Twokinds,:ctwokinds-floAAA:
1773,2021-01-16 19:32:31,Twokinds,Gotta pick something that Patreon won't block XD
1792,2021-01-16 19:38:14,Twokinds,yeh
1814,2021-01-16 19:41:33,Twokinds,Did you see my message markov?
1819,2021-01-16 19:43:02,Twokinds,how about wait and find out
1961,2021-01-16 20:01:42,Twokinds,who?
2264,2021-01-16 20:31:49,Twokinds,done
2590,2021-01-16 21:22:57,Twokinds,thx
3030,2021-01-16 22:31:26,Twokinds,Done
3076,2021-01-16 22:33:36,Twokinds,Every dragon is related to Nora
3112,2021-01-16 22:36:10,Twokinds,just payback for this lick: https://www.patreon.com/posts/draconic-balance-21435964
3126,2021-01-16 22:37:05,Twokinds,"Eh, she's not a human."
3130,2021-01-16 22:37:16,Twokinds,"She's not a particularly moral person, by human standards."
3135,2021-01-16 22:37:44,Twokinds,Some do.
3225,2021-01-16 22:50:39,Twokinds,Read the suggestion
3268,2021-01-16 22:56:27,Twokinds,XD
3276,2021-01-16 22:56:46,Twokinds,"Backstage AU, Modern AU, School AU"
3277,2021-01-16 22:56:48,Twokinds,So many AUs
3294,2021-01-16 22:57:34,Twokinds,Guess we also technically have WWII AU
3411,2021-01-16 23:06:16,Twokinds,Does that count as a subway?
3415,2021-01-16 23:06:47,Twokinds,"I suppose I have ridden in that thing a couple of times, to get to the terminal."
3416,2021-01-16 23:06:53,Twokinds,It's a 1 min ride XD
3437,2021-01-16 23:09:32,Twokinds,I dunno
3483,2021-01-16 23:15:06,Twokinds,I'm tired
3493,2021-01-16 23:15:27,Twokinds,yeah
3495,2021-01-16 23:15:30,Twokinds,they're just normal
3534,2021-01-16 23:17:45,Twokinds,At the moment Natani doesn't know how to create a new pocket dimension. There's just the one.
3536,2021-01-16 23:17:56,Twokinds,And it's not good to store knives in there.
3564,2021-01-16 23:19:34,Twokinds,No they were. Natani can make new bandages.
3569,2021-01-16 23:19:40,Twokinds,They just keep leading to the same place.
3573,2021-01-16 23:19:50,Twokinds,Cause the magic 'code' is just a copy and past job.
3581,2021-01-16 23:20:16,Twokinds,Natani stole the runes off something else originally.
3584,2021-01-16 23:20:28,Twokinds,He didn't invent them.
3600,2021-01-16 23:21:29,Twokinds,"It was probably a magic bag. And those ARE each unique. Since obviously, people don't want their stuff getting mixed up."
3832,2021-01-16 23:39:30,Twokinds,Goodnight!
35,2021-01-17 00:58:48,Twokinds,:ctwokinds-katwet:
